 


  
  

NCAA Men's Soccer
Division IPoints Per Game
Through Games 12/12/2022

Goals x 2 + assists must equal points
       
"Rank","Name","Team","Cl","Pos","Games","Goals","Assists","Points","Per Game"
"","Leopoldo Hernandez","UC Riverside","Sr.","M","20","9","0.45"
"","Tyler Young","Campbell","Jr.","M","20","9","0.45"
"41","Connor Drought","Cornell","Sr.","D","18","8","0.44"
"","Alexander Levengood","William & Mary","Sr.","M","18","8","0.44"
"","Sander Roed","Louisville","So.","M","18","8","0.44"
"","Ben Stitz","Penn","Sr.","M","18","8","0.44"
"45","Nikola Djordjevic","SMU","So.","M","16","7","0.44"
"","Eythor Kjartansson","Coastal Carolina","Fr.","M","16","7","0.44"
"","Kameron Lacey","Charlotte","Sr.","F","16","7","0.44"
"","Samory Powder","Detroit Mercy","Jr.","F","16","7","0.44"
"","Louis Sala","Michigan St.","Sr.","M","16","7","0.44"
"","Aymane Sordo","Gardner-Webb","Jr.","M","16","7","0.44"
"51","Ryan Crooks","West Virginia","Jr.","M","14","6","0.43"
"","Schinieder Mimy","Oral Roberts","Jr.","D","14","6","0.43"
"53","Brandon Morales","Cornell","Sr.","M","19","8","0.42"
"54","Sean Karani","Temple","Jr.","F","12","5","0.42"
"55","Taylor Calheira","UMBC","Jr.","F","17","7","0.41"
"","Emeka Eneli","Cornell","Sr.","F","17","7","0.41"
"","Charlie Gaffney","Penn","So.","F","17","7","0.41"
"","Marko Isakovic","Harvard","So.","M","17","7","0.41"
"","Diba Nwegbo","William & Mary","Sr.","F","17","7","0.41"
"","Jackson Wrobel","Wofford","So.","M","17","7","0.41"
"61","Joshua Bolma","Maryland","So.","F","20","8","0.40"
"","Jason Bouregy","Rutgers","Jr.","M","20","8","0.40"
"","Kyoji Hata","Campbell","Jr.","M","20","8","0.40"
"","Lucas Meek","Washington","Sr.","M","20","8","0.40"
"","Nick Richardson","Maryland","Sr.","M","20","8","0.40"
"","Tommy Silva","UCLA","Jr.","D","20","8","0.40"
"67","Edrey Caceres","Marquette","So.","M","18","7","0.39"
"","Dyson Clapier","Akron","So.","M","18","7","0.39"
"","Will Echeverria","Lafayette","Sr.","M","18","7","0.39"
"","Billy Hency","Loyola Chicago","Sr.","M","18","7","0.39"
"","Demitrius Kigeya","Gonzaga","Sr.","F","18","7","0.39"
"","Stas Korzeniowski","Penn","So.","F","18","7","0.39"
"","Julian Madrigal","Cal St. Fullerton","So.","F","18","7","0.39"
"","Tyrese Spicer","Lipscomb","Jr.","F","18","7","0.39"
"","Ousmane Sylla","Clemson","Jr.","M","18","7","0.39"
"76","Mauricio Villalobos","UCF","Sr.","M","13","5","0.38"
"77","Marco Afonso","UNC Greensboro","Sr.","F","21","8","0.38"
"","Charlie Sharp","Western Mich.","Sr.","M","21","8","0.38"
"","Jackson Temple","Rutgers","Sr.","M","21","8","0.38"
"80","Sebastian Andreassen","Central Ark.","Sr.","F","16","6","0.38"
"","Tim Bielic","Wisconsin","Sr.","M","16","6","0.38"
"","Mike Eijgendaal","Temple","Sr.","F","16","6","0.38"
"","Shaun Joash","Grand Canyon","Sr.","F","16","6","0.38"
"","Kasper Lehm","Elon","Sr.","D","16","6","0.38"
"","Max Rogers","Yale","Fr.","M","16","6","0.38"
"","Alejandro Silva","Utah Valley","So.","M","16","6","0.38"
"","Callum Watts","Charlotte","So.","M","16","6","0.38"
"","Ryan Wittenbrink","Indiana","Sr.","F","24","9","0.38"
"89","Hayden Anderson","Memphis","Sr.","D","19","7","0.37"
"","Nate Dragisich","Duquesne","Jr.","M","19","7","0.37"
"","Justin Mclean","Georgia St.","Fr.","M","19","7","0.37"
"","Nick Pariano","Duke","Jr.","M","19","7","0.37"
"93","Jackson Castro","Creighton","So.","M","22","8","0.36"
"94","Mateo Godoy","Princeton","Sr.","M","14","5","0.36"
"95","Reed Berry","Oral Roberts","Sr.","M","17","6","0.35"
"","Yusuf Cueceoglu","UTRGV","Sr.","M","17","6","0.35"
"","Felipe D'Agostini","Oral Roberts","So.","M","17","6","0.35"
"","Parker McKnight","Binghamton","Sr.","M","17","6","0.35"
"","Andrew Nunez","Oral Roberts","Sr.","F","17","6","0.35"
"","Robert Winkler","LIU","So.","D","17","6","0.35"
"101","Brendan Clark","UC Riverside","Sr.","D","20","7","0.35"
"","Daniel Hernandez","Campbell","Sr.","F","20","7","0.35"
"","Mike Melaragni","Western Mich.","Sr.","F","20","7","0.35"
"","Anthony Samways","Ohio St.","So.","M","20","7","0.35"
"","Keegan Tingey","Stanford","Sr.","D","20","7","0.35"
"","Wan Kuzri Wan Kamal","Akron","So.","M","20","7","0.35"
"","Johann von Knebel","New Hampshire","Sr.","M","20","7","0.35"
"108","Alberto Anaya","Bowling Green","So.","F","12","4","0.33"
"","Reziq Banihani","Cal St. Fullerton","So.","F","18","6","0.33"
"","David Bercedo","Quinnipiac","Sr.","F","21","7","0.33"
"","Brandon Cambridge","Portland","So.","M","21","7","0.33"
"","Vinicius Fernandes","Marshall","Sr.","M","15","5","0.33"
"","Cooper Flax","Wake Forest","Fr.","M","15","5","0.33"
"","Lucas Gonzalez","UC Santa Barbara","So.","M","18","6","0.33"
"","Omar Grey","Washington","Sr.","D","18","6","0.33"
"","Bryan Iliohan","California Baptist","Sr.","F","21","7","0.33"
"","Angel Iniguez","San Jose St.","Fr.","M","15","5","0.33"
"","Jared Juleau","Marist","Jr.","M","15","5","0.33"
"","Mateo Leveque","UConn","So.","M","15","5","0.33"
"","Matt Lockwood","Western Mich.","Sr.","D","21","7","0.33"
"","Alejandro Lopez","Lipscomb","Sr.","F","18","6","0.33"
"","Oskar Magnusson","Dartmouth","Fr.","M","15","5","0.33"
"","Alex Meinhard","Tulsa","Jr.","F","15","5","0.33"
"","MD Myers","Rutgers","Sr.","F","21","7","0.33"
"","Terence Okoeguale","Akron","Fr.","F","15","5","0.33"
"","Jesper Schone Vogtengen","Siena","So.","D","18","6","0.33"
"","Dawsun Schrum","Oakland","Sr.","F","18","6","0.33"
"","Jason Shokalook","Akron","So.","F","18","6","0.33"
"","Dylan Sing","Western Mich.","Sr.","M","21","7","0.33"
"","Oliver Svalander","Hofstra","Jr.","F","21","7","0.33"
"","Marlon Tabora","Georgetown","Jr.","F","21","7","0.33"
"","Kyle Tucker","Drexel","Sr.","M","18","6","0.33"
"","Jansen Wilson","Belmont","Sr.","M","18","6","0.33"
"134","Nathan Opoku","Syracuse","So.","F","25","8","0.32"
"135","Raz Amir","Fairfield","Jr.","F","19","6","0.32"
"","Palmer Ault","Butler","Fr.","F","19","6","0.32"
"","Sebastian Cruz","Cal St. Fullerton","Jr.","M","19","6","0.32"
"","D'Alessandro Herrera","Houston Christian","Fr.","M","19","6","0.32"
"","Kevin Leonhard","FDU","So.","F","19","6","0.32"
"","Yushi Nagao","FIU","Sr.","M","19","6","0.32"
"","Chris Pinkham","New Hampshire","Sr.","F","19","6","0.32"
"","Scott Vatne","Elon","So.","M","19","6","0.32"
"143","Jakob Andersson","Wofford","Fr.","D","16","5","0.31"
"","Leonardo D'Ambrosio","Col. of Charleston","So.","M","16","5","0.31"
"","Curtis DeLeon","UAB","So.","M","16","5","0.31"
"","Ibrahima Diop","Marshall","Sr.","F","16","5","0.31"
"","Kotaro Hirokawa","Kansas City","Jr.","D","16","5","0.31"
"","Christian Koffi","Kansas City","Jr.","F","16","5","0.31"
"","Samy Kolby","Charlotte","Fr.","M","16","5","0.31"
"","Dylan Lane","Furman","Sr.","M","16","5","0.31"
"","Jonathan Nyandjo","Charlotte","Jr.","F","16","5","0.31"
"","Jacob Schulman","Marist","Sr.","M","16","5","0.31"
"","Yutaro Tsukada","West Virginia","Jr.","F","16","5","0.31"
Reclassifying
"NR","Alessandro Negri","Merrimack","Sr.","M","14","5","0.36"

NCAA Men's Soccer
Division ITotal Assists
Through Games 12/12/2022


"Rank","Name","Team","Cl","Pos","Games","Assists"
"1","Nick Gutmann","Kentucky","Sr.","M","21","19"
"2","JC Ngando","UNC Greensboro","So.","M","21","14"
"","Giorgio Probo","Creighton","So.","M","24","14"
"4","Tom Cooklin","George Washington","Sr.","F","17","13"
"","Alexander Stjernegaard","Quinnipiac","Fr.","D","21","13"
"6","Filip Mirkovic","Pittsburgh","Jr.","M","20","12"
"7","Eric Conerty","Western Mich.","Sr.","F","21","11"
"","Willem Ebbinge","Harvard","Jr.","M","16","11"
"9","Ryan Becher","UMBC","Sr.","M","18","10"
"","Dylan Gaither","Mercer","Sr.","M","19","10"
"","Noah Gulden","Lipscomb","Sr.","D","19","10"
"","Chris Meyers","Washington","So.","F","19","10"
"","Sebastian Nava","Portland","So.","M","21","10"
"","Alexander Petraeus","SMU","Fr.","F","16","10"
"","Imanol Rosales","Washington","Jr.","M","20","10"
"16","Carlo Agostinelli","Stanford","Jr.","F","19","9"
"","Shane Anderson","Oral Roberts","Jr.","M","17","9"
"","Gabe Anguil","Milwaukee","So.","M","17","9"
"","Adam Aoumaich","Marshall","Jr.","F","19","9"
"","Lukas Hackaa","IUPUI","Jr.","M","20","9"
"","Stephen Hasse","Niagara","Sr.","M","20","9"
"","Leopoldo Hernandez","UC Riverside","Sr.","M","20","9"
"","Alex Nagy","Vermont","Sr.","M","17","9"
"","Balthi Saunders","Villanova","So.","F","16","9"
"","Cooper Warren","Army West Point","Jr.","M","16","9"
"","Ryan Wittenbrink","Indiana","Sr.","F","24","9"
"","Tyler Young","Campbell","Jr.","M","20","9"
"28","Marco Afonso","UNC Greensboro","Sr.","F","21","8"
"","Charles Ahl","Stetson","So.","M","16","8"
"","Jacob Angeletti","Air Force","Sr.","M","17","8"
"","Alessandro Arlotti","Harvard","So.","F","17","8"
"","Joshua Bolma","Maryland","So.","F","20","8"
"","Jason Bouregy","Rutgers","Jr.","M","20","8"
"","Jackson Castro","Creighton","So.","M","22","8"
"","Connor Drought","Cornell","Sr.","D","18","8"
"","Kyoji Hata","Campbell","Jr.","M","20","8"
"","Malcolm Johnston","Maryland","Sr.","M","17","8"
"","Alexander Levengood","William & Mary","Sr.","M","18","8"
"","Sergi Martinez","Bowling Green","Sr.","F","16","8"
"","Kenji Mboma Dem","Omaha","Jr.","F","16","8"
"","Lucas Meek","Washington","Sr.","M","20","8"
"","Brandon Morales","Cornell","Sr.","M","19","8"
"","Nathan Opoku","Syracuse","So.","F","25","8"
"","Nick Richardson","Maryland","Sr.","M","20","8"
"","Sander Roed","Louisville","So.","M","18","8"
"","Jesus Salazar","Mount St. Mary's","Jr.","M","17","8"
"","Charlie Sharp","Western Mich.","Sr.","M","21","8"
"","Tommy Silva","UCLA","Jr.","D","20","8"
"","Nathan Simeon","San Francisco","Sr.","D","17","8"
"","Reiss Skeen","Saint Peter's","Fr.","M","17","8"
"","Ben Stitz","Penn","Sr.","M","18","8"
"","Jackson Temple","Rutgers","Sr.","M","21","8"
"53","Brage Aasen","Quinnipiac","Sr.","F","12","7"
"","Hayden Anderson","Memphis","Sr.","D","19","7"
"","David Bercedo","Quinnipiac","Sr.","F","21","7"
"","Edrey Caceres","Marquette","So.","M","18","7"
"","Taylor Calheira","UMBC","Jr.","F","17","7"
"","Curt Calov","Syracuse","So.","M","23","7"
"","Brandon Cambridge","Portland","So.","M","21","7"
"","Koby Carr","Charlotte","Sr.","M","14","7"
"","Dyson Clapier","Akron","So.","M","18","7"
"","Brendan Clark","UC Riverside","Sr.","D","20","7"
"","Brad Dildy","Charlotte","Fr.","M","15","7"
"","Nikola Djordjevic","SMU","So.","M","16","7"
"","Nate Dragisich","Duquesne","Jr.","M","19","7"
"","Will Echeverria","Lafayette","Sr.","M","18","7"
"","Emeka Eneli","Cornell","Sr.","F","17","7"
"","Charlie Gaffney","Penn","So.","F","17","7"
"","Billy Hency","Loyola Chicago","Sr.","M","18","7"
"","Daniel Hernandez","Campbell","Sr.","F","20","7"
"","Bryan Iliohan","California Baptist","Sr.","F","21","7"
"","Marko Isakovic","Harvard","So.","M","17","7"
"","Demitrius Kigeya","Gonzaga","Sr.","F","18","7"
"","Eythor Kjartansson","Coastal Carolina","Fr.","M","16","7"
"","Stas Korzeniowski","Penn","So.","F","18","7"
"","Kameron Lacey","Charlotte","Sr.","F","16","7"
"","Matt Lockwood","Western Mich.","Sr.","D","21","7"
"","Julian Madrigal","Cal St. Fullerton","So.","F","18","7"
"","Justin Mclean","Georgia St.","Fr.","M","19","7"
"","Mike Melaragni","Western Mich.","Sr.","F","20","7"
"","MD Myers","Rutgers","Sr.","F","21","7"
"","Diba Nwegbo","William & Mary","Sr.","F","17","7"
"","Nick Pariano","Duke","Jr.","M","19","7"
"","Samory Powder","Detroit Mercy","Jr.","F","16","7"
"","Moussa Sabaly","Jacksonville","Jr.","M","15","7"
"","Louis Sala","Michigan St.","Sr.","M","16","7"
"","Anthony Samways","Ohio St.","So.","M","20","7"
"","Nyk Sessock","Indiana","Sr.","D","24","7"
"","Dylan Sing","Western Mich.","Sr.","M","21","7"
"","Christian Sjølander","Northern Ky.","Fr.","M","15","7"
"","Aymane Sordo","Gardner-Webb","Jr.","M","16","7"
"","Tyrese Spicer","Lipscomb","Jr.","F","18","7"
"","Oliver Svalander","Hofstra","Jr.","F","21","7"
"","Ousmane Sylla","Clemson","Jr.","M","18","7"
"","Marlon Tabora","Georgetown","Jr.","F","21","7"
"","Keegan Tingey","Stanford","Sr.","D","20","7"
"","Wan Kuzri Wan Kamal","Akron","So.","M","20","7"
"","Jackson Wrobel","Wofford","So.","M","17","7"
"","Johann von Knebel","New Hampshire","Sr.","M","20","7"
"100","Michael Adedokun","Dayton","Jr.","M","11","6"
"","Raz Amir","Fairfield","Jr.","F","19","6"
"","Sebastian Andreassen","Central Ark.","Sr.","F","16","6"
"","Palmer Ault","Butler","Fr.","F","19","6"
"","Reziq Banihani","Cal St. Fullerton","So.","F","18","6"
"","Sam Bassett","Denver","So.","M","22","6"
"","Reed Berry","Oral Roberts","Sr.","M","17","6"
"","Tim Bielic","Wisconsin","Sr.","M","16","6"
"","Ryan Crooks","West Virginia","Jr.","M","14","6"
"","Sebastian Cruz","Cal St. Fullerton","Jr.","M","19","6"
"","Yusuf Cueceoglu","UTRGV","Sr.","M","17","6"
"","Felipe D'Agostini","Oral Roberts","So.","M","17","6"
"","Mike Eijgendaal","Temple","Sr.","F","16","6"
"","Herbert Endeley","Indiana","Sr.","F","24","6"
"","Nick Fernandez","Portland","Fr.","M","20","6"
"","Jahlane Forbes","Wake Forest","Jr.","D","20","6"
"","Eliot Goldthorp","Hofstra","So.","M","21","6"
"","Hector Gomez","Cleveland St.","Sr.","M","20","6"
"","Lucas Gonzalez","UC Santa Barbara","So.","M","18","6"
"","Omar Grey","Washington","Sr.","D","18","6"
"","D'Alessandro Herrera","Houston Christian","Fr.","M","19","6"
"","Shaun Joash","Grand Canyon","Sr.","F","16","6"
"","Levonte Johnson","Syracuse","Sr.","F","25","6"
"","Kasper Lehm","Elon","Sr.","D","16","6"
"","Kevin Leonhard","FDU","So.","F","19","6"
"","Kyle Linhares","Georgetown","Jr.","M","21","6"
"","Alejandro Lopez","Lipscomb","Sr.","F","18","6"
"","Parker McKnight","Binghamton","Sr.","M","17","6"
"","Schinieder Mimy","Oral Roberts","Jr.","D","14","6"
"","Luis Mueller","California Baptist","Jr.","F","21","6"
"","Yushi Nagao","FIU","Sr.","M","19","6"
"","Andrew Nunez","Oral Roberts","Sr.","F","17","6"
"","Owen O'Malley","Creighton","Jr.","M","23","6"
"","Chris Pinkham","New Hampshire","Sr.","F","19","6"
"","Max Rogers","Yale","Fr.","M","16","6"
"","Lucas Rosa","Pittsburgh","Sr.","M","22","6"
"","Gurman Sangha","Portland","Sr.","M","21","6"
"","Jesper Schone Vogtengen","Siena","So.","D","18","6"
"","Dawsun Schrum","Oakland","Sr.","F","18","6"
"","Mohamed Seye","Clemson","Sr.","F","21","6"
"","Jason Shokalook","Akron","So.","F","18","6"
"","Alejandro Silva","Utah Valley","So.","M","16","6"
"","Jared Smith","Quinnipiac","Jr.","D","20","6"
"","Kyle Tucker","Drexel","Sr.","M","18","6"
"","Scott Vatne","Elon","So.","M","19","6"
"","Lane Warrington","Saint Louis","Sr.","M","20","6"
"","Callum Watson","Creighton","Sr.","M","22","6"
"","Callum Watts","Charlotte","So.","M","16","6"
"","Jansen Wilson","Belmont","Sr.","M","18","6"
"","Robert Winkler","LIU","So.","D","17","6"
"","Ronan Wynne","Denver","Jr.","D","22","6"

NCAA Men's Soccer
Division IGoals Against Average
Through Games 12/12/2022


"Rank","Name","Team","Cl","Pos","Games","Goalie Min. Plyd","GA","GAA"
"1","Hunter Morse","Western Mich.","Sr.","GK","21","1907:57","10","0.472"
"2","Danny DiMarco","Manhattan","Jr.","GK","14","1200:48","7","0.525"
"3","Eliot Hamill","Duke","Sr.","GK","19","1710:00","11","0.579"
"4","Lute Lillo Portero","Omaha","Jr.","GK","9","765:00","5","0.588"
"5","Jassem Koleilat","New Hampshire","Sr.","GK","20","1802:58","12","0.599"
"6","Harry Townsend","Missouri St.","Jr.","GK","18","1620:00","11","0.611"
"7","Francesco Montali","Boston U.","Sr.","GK","16","1451:23","10","0.620"
"8","Brendan Graves","Bowling Green","Jr.","GK","16","1440:00","10","0.625"
"9","Ryan Bilichuk","Elon","Sr.","GK","19","1710:00","12","0.632"
"10","Gianluca Cersosimo","LIU","Sr.","GK","12","1100:00","8","0.655"
"11","Alex Vidizzoni","Evansville","Sr.","GK","17","1439:25","11","0.688"
"12","Alex Sutton","Lafayette","Sr.","GK","17","1530:00","12","0.706"
"13","Nathan Silveira","Vermont","Sr.","GK","21","1865:29","15","0.724"
"14","Isaac Nehme","Denver","Fr.","GK","21","1859:08","15","0.726"
"15","Michael Sibley","Lipscomb","Sr.","GK","19","1726:48","14","0.730"
"16","Russell Shealy","Syracuse","Sr.","GK","24","2220:00","18","0.730"
"17","Simon Jillson","Loyola Chicago","Sr.","GK","18","1602:35","13","0.730"
"18","Ryan Schewe","Georgetown","Jr.","GK","15","1345:00","11","0.736"
"19","Oliver Semmle","Marshall","Sr.","GK","19","1707:54","14","0.738"
"20","Joseph Andema","Clemson","Fr.","GK","16","1440:00","12","0.750"
"21","Casper Mols","Kentucky","Fr.","GK","16","1417:27","12","0.762"
"22","Alex Bobocea","Loyola Maryland","So.","GK","15","1299:17","11","0.762"
"23","Nick Christoffersen","Penn","Sr.","GK","18","1636:15","14","0.770"
"24","Cole Hunter","ETSU","Sr.","GK","14","1260:00","11","0.786"
"","Luis Ludosan","Saint Joseph's","Jr.","GK","14","1260:00","11","0.786"
"26","Sam Fowler","Washington","Jr.","GK","14","1243:51","11","0.796"
"27","Edu Rodriguez","Campbell","Jr.","GK","13","1115:41","10","0.807"
"28","Tobias Jahn","Green Bay","So.","GK","16","1440:00","13","0.813"
"29","Gabriel Perrotta","UNCW","Sr.","GK","17","1409:07","13","0.830"
"30","Shafique Wilson","UAlbany","Jr.","GK","15","1350:00","13","0.867"
"31","Dario Caetano","Dayton","Jr.","GK","17","1550:00","15","0.871"
"32","Carlos Tofern","Saint Louis","Sr.","GK","17","1545:00","15","0.874"
"33","Pierce Holbrook","Navy","So.","GK","19","1730:00","17","0.884"
"34","Cole Jensen","Xavier","Sr.","GK","18","1620:00","16","0.889"
"35","Domenic Nascimben","Duquesne","Sr.","GK","19","1710:00","17","0.895"
"36","Alec McLachlan","St. Francis Brooklyn","Fr.","GK","14","1300:00","13","0.900"
"37","Matt Frank","Stanford","Sr.","GK","20","1786:09","18","0.907"
"38","George Tasouris","Portland","Sr.","GK","21","1875:57","19","0.912"
"39","Thomas Wallis","Charlotte","Jr.","GK","13","1170:00","12","0.923"
"40","Keagan McLaughlin","Ohio St.","Sr.","GK","16","1460:00","15","0.925"
"41","Niclas Wild","UNC Greensboro","Jr.","GK","20","1840:00","19","0.929"
"42","Wyatt Kistner","FGCU","Jr.","GK","15","1349:56","14","0.933"
"43","Nolan Premack","California Baptist","Jr.","GK","19","1730:00","18","0.936"
"44","Jonathan Burke","Drake","Sr.","GK","15","1340:51","14","0.940"
"45","Nate Logan","Belmont","Sr.","GK","17","1530:00","16","0.941"
"46","Ryan Troutman","Louisville","Sr.","GK","12","1100:00","12","0.982"
"47","David Sweeney","San Jose St.","Sr.","GK","19","1730:00","19","0.988"
"48","Leroy Zeller","UC Santa Barbara","Jr.","GK","20","1820:00","20","0.989"
"49","Nate Crockford","UCLA","So.","GK","19","1710:00","19","1.000"
"","Andrew Cordes","North Carolina","Fr.","GK","14","1260:00","14","1.000"
"51","Trace Alphin","Wake Forest","So.","GK","19","1705:23","19","1.003"
"52","Greg Monroe","Siena","Sr.","GK","19","1701:09","19","1.005"
"53","Ryan Friedberg","Cornell","Fr.","GK","19","1698:35","19","1.007"
"54","Eryk Dymora","Monmouth","So.","GK","15","1324:56","15","1.019"
"55","JT Harms","Indiana","Jr.","GK","18","1586:46","18","1.021"
"56","Joe van der Sar","Pittsburgh","Sr.","GK","22","2020:00","23","1.025"
"57","Holden Brown","Virginia","So.","GK","19","1750:00","20","1.029"
"58","Tetsuya Kadono","Cal St. Fullerton","Jr.","GK","19","1637:32","19","1.044"
"59","Alessandro Capogna","Drexel","Jr.","GK","18","1619:22","19","1.056"
"60","Zenden Hart","St. John's (NY)","Fr.","GK","11","931:57","11","1.062"
"61","Spencer King","FDU","Sr.","GK","17","1440:00","17","1.063"
"62","Henrik Weiper","Brown","Fr.","GK","15","1350:00","16","1.067"
"63","Micah Gun","North Florida","Jr.","GK","9","753:34","9","1.075"
"64","Jason Dubrovich","San Diego","Sr.","GK","19","1730:00","21","1.092"
"65","Eric Waltz","San Francisco","Jr.","GK","16","1394:11","17","1.097"
"66","Wessel Speel","Hofstra","Jr.","GK","21","1876:50","23","1.103"
"67","Alex Lopez","Tulsa","So.","GK","14","1300:00","16","1.108"
"68","Carter Abbott","Wisconsin","Sr.","GK","16","1460:00","18","1.110"
"69","Matt Zambetti","Massachusetts","Sr.","GK","17","1451:08","18","1.116"
"70","John Ermini","VCU","So.","GK","16","1289:01","16","1.117"
"71","Juan Alfaro Monge","Iona","So.","GK","17","1530:00","19","1.118"
"72","Charles Janssen","UC Davis","So.","GK","17","1441:17","18","1.124"
"73","Sebastian Jimenez","Wright St.","Sr.","GK","11","956:45","12","1.129"
"74","Holden Trent","High Point","Sr.","GK","21","1890:00","24","1.143"
"75","Mitch Budler","Akron","Fr.","GK","20","1800:00","23","1.150"
"76","Kash Oladapo","Saint Mary's (CA)","Jr.","GK","13","1170:00","15","1.154"
"77","Jeremy Coste","Oral Roberts","Sr.","GK","17","1550:00","20","1.161"
"78","Mitchell Wilson","LMU (CA)","Sr.","GK","18","1620:00","21","1.167"
"79","Leo Stritter","Presbyterian","Fr.","GK","16","1380:55","18","1.173"
"80","Kent Dickey","Villanova","Sr.","GK","17","1530:00","20","1.176"
"81","Sam Ilin","Marist","Sr.","GK","17","1523:43","20","1.181"
